DATE,QUARTER HOUR,LIST RECORDS,DIALED RECORDS count,CONTACTED count,CONTACTED (%rec),Min TIME TO FIRST CONTACT,Average TIME TO FIRST CONTACT,NEW count,IN PROGRESS count,UNREACHABLE count,UNREACHABLE (%rec),FINAL count,FINAL (%rec)
2016/06/01,07:30,1,1,1,100.00%,00:06:50,00:06:50,0,0,0,0.00%,1,100.00%
2016/06/01,07:45,1,1,1,100.00%,,,0,0,1,100.00%,0,0.00%
2016/06/01,08:00,4,4,4,100.00%,00:03:17,00:06:29,0,0,0,0.00%,4,100.00%
2016/06/01,08:15,6,6,6,100.00%,00:06:20,00:06:53,0,0,2,33.33%,4,66.67%
2016/06/01,08:30,7,7,7,100.00%,00:13:59,00:16:18,0,0,5,71.43%,2,28.57%
2016/06/01,08:45,16,16,15,93.75%,00:01:43,00:15:33,0,0,3,18.75%,13,81.25%
2016/06/01,09:00,3,3,2,66.67%,00:08:17,00:08:17,0,0,1,33.33%,2,66.67%
2016/06/01,09:15,7,6,6,85.71%,00:01:12,00:03:25,1,0,1,14.29%,5,71.43%
2016/06/01,09:30,4,4,4,100.00%,00:02:40,00:06:13,0,0,2,50.00%,2,50.00%
2016/06/01,09:45,4,4,4,100.00%,00:02:10,00:07:04,0,0,0,0.00%,4,100.00%
2016/06/01,10:00,8,8,7,87.50%,00:03:16,00:09:54,0,0,1,12.50%,7,87.50%
2016/06/01,10:15,6,6,6,100.00%,00:01:08,00:05:06,0,0,1,16.67%,5,83.33%
2016/06/01,10:30,7,7,6,85.71%,00:01:13,00:07:49,0,0,1,14.29%,6,85.71%
2016/06/01,10:45,7,7,6,85.71%,00:01:55,00:19:18,0,0,1,14.29%,6,85.71%
2016/06/01,11:00,2,2,2,100.00%,00:01:36,00:02:37,0,0,0,0.00%,2,100.00%
2016/06/01,11:15,6,6,6,100.00%,00:02:11,00:06:34,0,0,1,16.67%,5,83.33%
2016/06/01,11:30,7,7,7,100.00%,00:01:09,00:03:43,0,0,1,14.29%,6,85.71%
2016/06/01,11:45,5,5,4,80.00%,00:00:46,00:09:59,0,0,1,20.00%,4,80.00%
2016/06/01,12:00,9,9,9,100.00%,00:01:12,00:05:03,0,0,0,0.00%,9,100.00%
2016/06/01,12:15,9,9,9,100.00%,00:00:48,00:06:42,0,0,0,0.00%,9,100.00%
